"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1763198749252489361","Thu Feb 29 13:45:15 +0000 2024","7","Wishlist: bisa ke Luwuk Banggai lagi tapi liburan bukan kerja :)","1763198749252489361","","","in","Tomia, Indonesia","0","2","0","https://twitter.com/rarahaitani/status/1763198749252489361","593578976","rarahaitani"
"1762318341371502663","Tue Feb 27 03:26:49 +0000 2024","0","Selesai sudah singgah makasar lanut luwuk jalur laut","1762318341371502663","","","in","Sedang berkelana","0","0","0","https://twitter.com/Tmpt_Bercerita/status/1762318341371502663","1126905431916343297","Tmpt_Bercerita"
"1761775312021696916","Sun Feb 25 15:29:01 +0000 2024","0","Jakarta - Madiun - Trenggalek - Madiun - Jakarta - Makassar - Luwuk.. dalam 2 hari ","1761775312021696916","","","in","","0","0","0","https://twitter.com/dicotrop/status/1761775312021696916","1315054649846624257","dicotrop"
"1760244043257352267","Wed Feb 21 10:04:18 +0000 2024","0","Next luwuk letsss goooooo~~~~","1760244043257352267","","","in","","0","0","0","https://twitter.com/kinonme/status/1760244043257352267","147876846","kinonme"
"1759775650360209851","Tue Feb 20 03:03:04 +0000 2024","0","Tolong dong mas @prastow ingatkan layanan KPP Pratama Luwuk. Pegawai resepsionis wajahnya kecut minta ampun saat melayani orang mau urus NPWP pas tanya ke resepsionis dijawab sekenanya.","1759775650360209851","","","in","Indonesia","0","1","1","https://twitter.com/alisangalu/status/1759775650360209851","1018553590221189120","alisangalu"
"1759236925553287634","Sun Feb 18 15:22:22 +0000 2024","0","saya ke medan bisa merasakan kereta bandara ke bitung bisa lewat tol dari manado ke samarinda sudah ada jalur jembatan baru ke jayapura sudah melewati jembatan baru ke luwuk sudah menjadi kota maju masih heran banyak orang terhasut hanya dari omongan anis seolah negara ini rusak","1759236925553287634","","","in","uuwwaaduoh","0","0","0","https://twitter.com/Heroofebr/status/1759236925553287634","231309444","Heroofebr"
"1759129762310807905","Sun Feb 18 08:16:33 +0000 2024","0","Yeayyy besok pulang Luwuk ","1759129762310807905","","","in","Sulawesi Tengah, Indonesia","0","1","0","https://twitter.com/Ibongsss/status/1759129762310807905","1002601285","Ibongsss"
"1757037773700424024","Mon Feb 12 13:43:44 +0000 2024","0","Selayar kayaknya asik ya? atau Tanjung Puting? atau Luwuk Banggai? atau Toraja? atau Sumba? atau Waerebo? ah banyak kali wishlist ini","1757037773700424024","","","in","","0","1","0","https://twitter.com/sandaljepit_sj/status/1757037773700424024","117678778","sandaljepit_sj"
"1756632001766097098","Sun Feb 11 10:51:20 +0000 2024","0","Ni mau ngeprint aja degdegan stgh mati karena print harus di kertas yang udah dicap basah RSUD Luwuk:) sampe salah ga ngerti lagi Banggai jauh bos. Untung kelar besok tinggal ke Dinkes ","1756632001766097098","","","in","","0","0","0","https://twitter.com/bimantaraL/status/1756632001766097098","318411580","bimantaraL"
"1755378407523701096","Wed Feb 07 23:50:00 +0000 2024","0","Terimakasih Luwuk ","1755378407523701096","","","in","","0","1","0","https://twitter.com/bimantaraL/status/1755378407523701096","318411580","bimantaraL"
